Plant_ID,Plot,Row,Column,Position,Competition,Treatment,PlantDate(L),Planting Person (L),LeftMeasure(mm),PlantDate R),Planting Person (R),RightMeasure(mm),%: 4/15/22,PER: 4/15/22,%: 4/21/22,PER: 4/21/22,PER: 4/29/22,Initial PER: 5/6/22,PER: 5/6/22,PER: 5/13/22,PER: 5/20/22,PER: 5/27/22,Mortality Date (L),Mortality Date (R),Notes
130,H2,B,2,B2,Weed Cloth,Control,3/17/2022,Miranda Melen,13,3/17/2022,Miranda Melen,14,10.4,1.266,14.7,1.333,1.183,1.151,1.148,1.148,,,5/20/22,5/13/22,
131,H2,C,1,C1,Weed Cloth,Water,3/17/2022,Miranda Melen,11,3/17/2022,Miranda Melen,13,14.9,1.338,26.0,1.501,1.378,1.214,1.339,,,,5/13/22,5/13/22,
132,H2,C,2,C2,Weed Cloth,Fertilizer,3/17/2022,Miranda Melen,13,3/17/2022,Miranda Melen,10,7.2,1.212,14.0,1.322,1.294,1.147,1.305,,,,5/13/22,5/13/22,
133,I1,A,1,A1,No Cloth,Water,3/17/2022,Emma Snyder,14,3/17/2022,Emma Snyder,12,11.7,1.287,19.8,1.409,1.285,1.138,1.267,,,,5/13/22,5/13/22,
134,I1,A,2,A2,Weed Cloth,Water,3/17/2022,Emma Snyder,13,3/17/2022,Emma Snyder,8,15.7,1.349,24.6,1.479,1.391,,,,,,5/6/22,5/6/22,squirrel
135,I1,B,1,B1,No Cloth,Control,3/17/2022,Emma Snyder,15,3/17/2022,Emma Snyder,14,9.0,1.242,16.5,1.361,1.205,1.149,1.152,1.144,,,5/20/22,5/20/22,
136,I1,B,2,B2,Weed Cloth,Control,3/17/2022,Emma Snyder,9,3/17/2022,Emma Snyder,12,10.1,1.260,16.1,1.355,1.191,1.162,1.144,1.146,,,5/13/22,5/20/22,
137,I1,C,1,C1,Weed Cloth,Fertilizer,3/17/2022,Emma Snyder,10,3/17/2022,Emma Snyder,12,8.9,1.241,15.4,1.344,1.333,1.157,1.289,1.309,,,5/13/22,5/20/22,
138,I1,C,2,C2,No Cloth,Fertilizer,3/17/2022,Emma Snyder,10,3/17/2022,Emma Snyder,7,8.2,1.229,14.7,1.333,1.320,1.159,1.331,1.284,,,5/13/22,5/20/22,
139,I5,A,1,A1,No Cloth,Control,3/17/2022,Emma Snyder,10,3/17/2022,Emma Snyder,12,7.8,1.222,13.7,1.318,1.178,1.118,1.109,1.114,,,5/20/22,5/13/22,
140,I5,A,2,A2,Weed Cloth,Fertilizer,3/17/2022,Emma Snyder,11,3/17/2022,Emma Snyder,10,8.8,1.238,13.5,1.314,1.273,1.156,1.294,1.269,,,5/13/22,5/20/22,
141,I5,B,1,B1,No Cloth,Fertilizer,3/17/2022,Emma Snyder,12,3/17/2022,Emma Snyder,11,8.0,1.225,14.5,1.330,1.327,1.136,1.266,,,,5/13/22,5/13/22,
142,I5,B,2,B2,No Cloth,Water,3/17/2022,Emma Snyder,10,3/17/2022,Emma Snyder,14,12.8,1.303,22.2,1.444,1.285,1.144,1.291,,,,5/13/22,5/13/22,
143,I5,C,1,C1,Weed Cloth,Control,3/17/2022,Emma Snyder,17,3/17/2022,Emma Snyder,12,9.8,1.256,15.8,1.348,1.204,1.154,1.145,1.157,,,5/13/22,5/20/22,
144,I5,C,2,C2,Weed Cloth,Water,3/17/2022,Emma Snyder,15,3/17/2022,Emma Snyder,12,14.4,1.329,19.7,1.408,1.386,1.219,1.292,,,,5/13/22,5/13/22,
145,J1,A,1,A1,No Cloth,Fertilizer,3/17/2022,Emma Snyder,13,3/17/2022,Emma Snyder,14,9.8,1.256,16.2,1.355,1.291,1.158,1.314,1.313,,,5/13/22,5/20/22,
146,J1,A,2,A2,Weed Cloth,Control,3/17/2022,Emma Snyder,6,3/17/2022,Emma Snyder,8,11.7,1.287,14.3,1.327,1.197,1.146,1.14,1.147,,,5/20/22,5/20/22,
147,J1,B,1,B1,Weed Cloth,Water,3/17/2022,Emma Snyder,7,3/17/2022,Emma Snyder,10,13.0,1.303,22.2,1.444,1.325,1.182,1.338,,,,5/13/22,5/13/22,
148,J1,B,2,B2,No Cloth,Water,3/17/2022,Emma Snyder,11,3/17/2022,Emma Snyder,10,12.3,1.299,18.7,1.392,1.317,1.169,1.309,,,,5/13/22,5/13/22,
149,J1,C,1,C1,No Cloth,Control,3/17/2022,Emma Snyder,12,3/17/2022,Emma Snyder,12,7.9,1.223,13.4,1.313,1.184,1.137,1.129,,,,5/13/22,5/13/22,
150,J1,C,2,C2,Weed Cloth,Fertilizer,3/17/2022,Emma Snyder,12,3/17/2022,Emma Snyder,11,7.5,1.216,12.9,1.304,1.298,1.143,1.296,,,,5/13/22,5/13/22,
151,J3,A,1,A1,Weed Cloth,Fertilizer,3/17/2022,Emma Snyder,12,3/17/2022,Emma Snyder,15,10.0,1.259,15.6,1.346,1.337,1.195,1.333,1.277,,,5/13/22,5/20/22,
152,J3,A,2,A2,Weed Cloth,Control,3/17/2022,Emma Snyder,10,3/17/2022,Emma Snyder,8,9.5,1.250,15.3,1.342,1.208,1.151,1.163,1.181,1.145,,5/27/22,5/13/22,
153,J3,B,1,B1,Weed Cloth,Water,3/17/2022,Emma Snyder,10,3/17/2022,Emma Snyder,11,6.3,1.196,17.4,1.373,1.334,1.194,1.34,1.27,,,5/13/22,5/20/22,
154,J3,B,2,B2,No Cloth,Water,3/17/2022,Emma Snyder,15,3/17/2022,Emma Snyder,17,14.2,1.327,22.2,1.444,1.287,1.163,1.281,,,,5/13/22,5/13/22,
155,J3,C,1,C1,No Cloth,Fertilizer,3/17/2022,Emma Snyder,16,3/17/2022,Emma Snyder,11,7.3,1.213,12.5,1.298,1.265,1.156,1.291,1.269,,,5/20/22,5/20/22,
156,J3,C,2,C2,No Cloth,Control,3/17/2022,Emma Snyder,12,3/17/2022,Emma Snyder,11,7.5,1.215,11.7,1.285,1.169,1.132,1.136,1.118,,,5/13/22,5/20/22,
157,J4,A,1,A1,Weed Cloth,Water,3/17/2022,Miranda Melen,12,3/17/2022,Miranda Melen,10,13.2,1.313,22.9,1.455,1.459,1.224,1.408,,,,5/13/22,5/13/22,
158,J4,A,2,A2,No Cloth,Water,3/17/2022,Miranda Melen,7,3/17/2022,Miranda Melen,12,14.8,1.336,19.8,1.409,1.336,1.149,1.269,1.291,,,5/20/22,5/20/22,
159,J4,B,1,B1,No Cloth,Control,3/17/2022,Miranda Melen,13,3/17/2022,Miranda Melen,11,10.4,1.265,15.8,1.349,1.202,1.164,1.163,,,,5/13/22,5/13/22,
160,J4,B,2,B2,Weed Cloth,Control,3/17/2022,Miranda Melen,9,3/17/2022,Miranda Melen,12,10.0,1.259,13.8,1.319,1.186,1.137,1.129,,,,5/13/22,5/13/22,
161,J4,C,1,C1,Weed Cloth,Fertilizer,3/17/2022,Miranda Melen,12,3/17/2022,Miranda Melen,8,9.7,1.253,12.8,1.304,1.380,1.169,1.307,,,,5/13/22,5/13/22,
162,J4,C,2,C2,No Cloth,Fertilizer,3/25/2022,Emma Snyder,7,3/21/2022,Rachael Bradley,10,7.4,1.215,14.9,1.336,1.304,1.148,1.319,1.282,,,4/15/22,5/20/22,
163,J5,A,1,A1,No Cloth,Water,4/1/2022,Emma Snyder,7,4/1/2022,Emma Snyder,8,,,,,,,,,,,4/7/22,4/7/22,"4/15/22 cave in, no reading, giant hole"
164,J5,A,2,A2,No Cloth,Fertilizer,3/17/2022,Rachael Bradley,13,3/17/2022,Rachael Bradley,14,9.3,1.243,13.1,1.338,1.294,1.153,1.299,,,,5/13/22,5/13/22,
165,J5,B,1,B1,Weed Cloth,Water,3/17/2022,Rachael Bradley,14,3/17/2022,Rachael Bradley,9,14.0,1.326,23.7,1.467,1.401,1.2,1.304,1.287,,,4/7/22,5/20/22,4/15/22 covered in dirt
166,J5,B,2,B2,Weed Cloth,Fertilizer,3/17/2022,Rachael Bradley,12,3/17/2022,Rachael Bradley,11,9.8,1.256,14.2,1.325,1.328,1.157,1.311,1.232,,,5/13/22,5/20/22,
167,J5,C,1,C1,No Cloth,Control,3/17/2022,Rachael Bradley,12,3/17/2022,Rachael Bradley,10,5.4,1.180,,,,,,,,,4/7/22,4/15/22,4/15/22 covered by dirt again
168,J5,C,2,C2,Weed Cloth,Control,3/17/2022,Rachael Bradley,12,3/17/2022,Rachael Bradley,12,9.3,1.247,16.1,1.354,1.231,1.174,1.172,,,,5/6/22,5/13/22,
