Block,Plot,Flag,Pos,Flag_Pos,Population,Site,Habitat,Treatment,HabitatTreatment,PlantDate,LeafMeas1,LeafMeas2,Growth,MortDate,MortHarvDate,CensorAll,DaysMort,Census,DaysCensus,NumDaysAlive,HarvDate,CensorBiomass,BudDate,CensorReproduction,CensorTest,PropBud,PropBudSite,Height,Biomass,Biomass date
J,2,J2,6,J2_06,GUA-O,GUA,Vegetated,Biomass Removal,Vegetated/Biomass Removal,3/24/21,23,51,28,8/12/21,8/12/21,1,141,11/15/21,236,141,8/12/21,1,,0,1,0.763,0.6,15.5,2.662,9/7/21
A,5,A5,15,A5_15,LEX-O,LEX,Vegetated,Biomass Removal,Vegetated/Biomass Removal,3/19/21,20,57,37,,9/17/21,1,182,11/15/21,241,182,9/17/21,1,9/17/21,1,0,0.763,0.8,54.1,7.193,9/22/21
B,2,B2,1,B2_01,LEX-O,LEX,Vegetated,Biomass Removal,Vegetated/Biomass Removal,2/27/21,24.25,45,20.75,,9/10/21,1,195,11/15/21,261,195,9/10/21,1,9/10/21,1,0,0.763,0.8,44.5,7.451,9/13/21
C,2,C2,8,C2_08,LEX-O,LEX,Vegetated,Biomass Removal,Vegetated/Biomass Removal,2/27/21,27.38,46,18.62,,9/10/21,1,195,11/15/21,261,195,9/10/21,1,9/10/21,1,0,0.763,0.8,42,7.827,9/14/21
D,1,D1,6,D1_06,LEX-O,LEX,Vegetated,Biomass Removal,Vegetated/Biomass Removal,2/27/21,16.52,41,24.48,,9/10/21,1,195,11/15/21,261,195,9/10/21,1,9/10/21,1,0,0.763,0.8,55.5,10.638,9/22/21
E,5,E5,1,E5_01,LEX-O,LEX,Vegetated,Biomass Removal,Vegetated/Biomass Removal,3/9/21,23,46,23,9/3/21,9/3/21,1,178,11/15/21,251,178,9/3/21,1,,0,1,0.763,0.8,21.2,1.299,9/9/21
F,1,F1,11,F1_11,LEX-O,LEX,Vegetated,Biomass Removal,Vegetated/Biomass Removal,2/27/21,27.99,39,11.01,,9/3/21,1,188,11/15/21,261,188,9/3/21,1,9/3/21,1,0,0.763,0.8,34.8,8.448,9/8/21
G,1,G1,2,G1_02,LEX-O,LEX,Vegetated,Biomass Removal,Vegetated/Biomass Removal,3/9/21,21,,-21,3/29/21,3/29/21,1,20,11/15/21,251,20,,0,,0,1,0.763,0.8,,,
H,4,H4,5,H4_05,LEX-O,LEX,Vegetated,Biomass Removal,Vegetated/Biomass Removal,2/27/21,15.39,52,36.61,,9/10/21,1,195,11/15/21,261,195,9/10/21,1,9/10/21,1,0,0.763,0.8,24.5,1.885,9/20/21
I,4,I4,13,I4_13,LEX-O,LEX,Vegetated,Biomass Removal,Vegetated/Biomass Removal,2/27/21,16.1,58,41.9,,9/13/21,1,198,11/15/21,261,198,9/13/21,1,9/10/21,1,0,0.763,0.8,54.1,5.032,9/20/21
J,2,J2,14,J2_14,LEX-O,LEX,Vegetated,Biomass Removal,Vegetated/Biomass Removal,2/27/21,16.64,40,23.36,,9/13/21,1,198,11/15/21,261,198,9/13/21,1,9/10/21,1,0,0.763,0.8,33.9,2.029,9/20/21
A,5,A5,10,A5_10,OAP-O,OAP,Vegetated,Biomass Removal,Vegetated/Biomass Removal,2/27/21,25.97,47,21.03,,9/3/21,1,188,11/15/21,261,188,9/3/21,1,,0,1,0.763,0.7,43.2,18.07,9/8/21
B,2,B2,16,B2_16,OAP-O,OAP,Vegetated,Biomass Removal,Vegetated/Biomass Removal,2/27/21,17.03,59,41.97,,9/10/21,1,195,11/15/21,261,195,9/10/21,1,9/10/21,1,0,0.763,0.7,41.5,5.984,9/13/21
C,2,C2,16,C2_16,OAP-O,OAP,Vegetated,Biomass Removal,Vegetated/Biomass Removal,2/27/21,16.86,34,17.14,,9/10/21,1,195,11/15/21,261,195,9/10/21,1,9/10/21,1,0,0.763,0.7,30.6,2.162,9/28/21
D,1,D1,14,D1_14,OAP-O,OAP,Vegetated,Biomass Removal,Vegetated/Biomass Removal,2/27/21,14.55,44,29.45,,9/10/21,1,195,11/15/21,261,195,9/10/21,1,9/10/21,1,0,0.763,0.7,43.2,12.406,9/20/21
E,5,E5,5,E5_05,OAP-O,OAP,Vegetated,Biomass Removal,Vegetated/Biomass Removal,2/27/21,21.54,,-21.54,3/29/21,3/29/21,1,30,11/15/21,261,30,,0,,0,1,0.763,0.7,,,
F,1,F1,8,F1_08,OAP-O,OAP,Vegetated,Biomass Removal,Vegetated/Biomass Removal,2/27/21,15.34,43,27.66,,9/3/21,1,188,11/15/21,261,188,9/3/21,1,,0,1,0.763,0.7,60,12.781,9/20/21
G,1,G1,11,G1_11,OAP-O,OAP,Vegetated,Biomass Removal,Vegetated/Biomass Removal,2/27/21,18.09,45,26.91,,9/10/21,1,195,11/15/21,261,195,9/10/21,1,9/10/21,1,0,0.763,0.7,33.5,1.842,9/28/21
H,4,H4,15,H4_15,OAP-O,OAP,Vegetated,Biomass Removal,Vegetated/Biomass Removal,2/27/21,12.21,45,32.79,,9/10/21,1,195,11/15/21,261,195,9/10/21,1,9/10/21,1,0,0.763,0.7,56,5.131,9/22/21
I,4,I4,11,I4_11,OAP-O,OAP,Vegetated,Biomass Removal,Vegetated/Biomass Removal,2/27/21,21.13,53,31.87,,9/13/21,1,198,11/15/21,261,198,9/13/21,1,9/10/21,1,0,0.763,0.7,68,10.307,9/20/21
J,2,J2,13,J2_13,OAP-O,OAP,Vegetated,Biomass Removal,Vegetated/Biomass Removal,2/27/21,13.66,46,32.34,,9/10/21,1,195,11/15/21,261,195,9/10/21,1,9/10/21,1,0,0.763,0.7,44.8,3.242,9/20/21
A,5,A5,2,A5_02,PAR-O,PAR,Vegetated,Biomass Removal,Vegetated/Biomass Removal,2/27/21,20.32,18,-2.32,,7/2/21,1,125,11/15/21,261,125,7/2/21,1,6/25/21,1,0,0.763,0.9,9.9,0.73,9/8/21
B,2,B2,2,B2_02,PAR-O,PAR,Vegetated,Biomass Removal,Vegetated/Biomass Removal,2/27/21,16.73,50,33.27,6/18/21,6/18/21,1,111,11/15/21,261,111,7/2/21,1,,0,1,0.763,0.9,9.9,0.976,9/8/21
C,2,C2,3,C2_03,PAR-O,PAR,Vegetated,Biomass Removal,Vegetated/Biomass Removal,2/27/21,17.07,37,19.93,,8/27/21,1,181,11/15/21,261,181,8/27/21,1,8/27/21,1,0,0.763,0.9,31,2.877,9/7/21
D,1,D1,7,D1_07,PAR-O,PAR,Vegetated,Biomass Removal,Vegetated/Biomass Removal,2/27/21,16.05,65,48.95,,9/10/21,1,195,11/15/21,261,195,9/10/21,1,9/10/21,1,0,0.763,0.9,59.9,9.809,9/13/21
E,5,E5,16,E5_16,PAR-O,PAR,Vegetated,Biomass Removal,Vegetated/Biomass Removal,2/27/21,24.83,36,11.17,,7/2/21,1,125,11/15/21,261,125,7/2/21,1,7/2/21,1,0,0.763,0.9,17.9,1.781,9/8/21
F,1,F1,16,F1_16,PAR-O,PAR,Vegetated,Biomass Removal,Vegetated/Biomass Removal,2/27/21,17.71,53,35.29,,9/10/21,1,195,11/15/21,261,195,9/10/21,1,9/10/21,1,0,0.763,0.9,66.3,32.805,9/22/21
G,1,G1,13,G1_13,PAR-O,PAR,Vegetated,Biomass Removal,Vegetated/Biomass Removal,3/16/21,23,52,29,,9/3/21,1,171,11/15/21,244,171,9/3/21,1,9/3/21,1,0,0.763,0.9,51.5,15.704,9/20/21
H,4,H4,13,H4_13,PAR-O,PAR,Vegetated,Biomass Removal,Vegetated/Biomass Removal,3/1/21,20,59,39,,9/10/21,1,193,11/15/21,259,193,9/10/21,1,9/10/21,1,0,0.763,0.9,25.6,3.339,9/22/21
I,4,I4,16,I4_16,PAR-O,PAR,Vegetated,Biomass Removal,Vegetated/Biomass Removal,2/27/21,16.41,39,22.59,,9/13/21,1,198,11/15/21,261,198,9/13/21,1,9/10/21,1,0,0.763,0.9,51,4.913,9/20/21
J,2,J2,9,J2_09,PAR-O,PAR,Vegetated,Biomass Removal,Vegetated/Biomass Removal,3/1/21,18,37,19,,9/17/21,1,200,11/15/21,259,200,9/17/21,1,9/17/21,1,0,0.763,0.9,22,1.105,9/22/21
A,5,A5,4,A5_04,PEN-O,PEN,Vegetated,Biomass Removal,Vegetated/Biomass Removal,2/27/21,21.15,28,6.85,,7/2/21,1,125,11/15/21,261,125,7/2/21,1,6/25/21,1,0,0.763,0.7,9.2,0.718,9/8/21
B,2,B2,3,B2_03,PEN-O,PEN,Vegetated,Biomass Removal,Vegetated/Biomass Removal,3/19/21,36,71,35,,8/27/21,1,161,11/15/21,241,161,8/27/21,1,8/27/21,1,0,0.763,0.7,60.6,39.831,9/8/21
C,2,C2,12,C2_12,PEN-O,PEN,Vegetated,Biomass Removal,Vegetated/Biomass Removal,2/27/21,13.68,35,21.32,,9/3/21,1,188,11/15/21,261,188,9/3/21,1,9/3/21,1,0,0.763,0.7,36.5,4.676,9/7/21
D,1,D1,16,D1_16,PEN-O,PEN,Vegetated,Biomass Removal,Vegetated/Biomass Removal,2/27/21,24.96,55,30.04,,9/10/21,1,195,11/15/21,261,195,9/10/21,1,9/10/21,1,0,0.763,0.7,65.5,10.05,9/20/21
E,5,E5,14,E5_14,PEN-O,PEN,Vegetated,Biomass Removal,Vegetated/Biomass Removal,2/27/21,9.52,40,30.48,,9/10/21,1,195,11/15/21,261,195,9/10/21,1,,0,1,0.763,0.7,41.5,4.157,9/20/21
F,1,F1,6,F1_06,PEN-O,PEN,Vegetated,Biomass Removal,Vegetated/Biomass Removal,2/27/21,28.09,40,11.91,7/9/21,7/9/21,1,132,11/15/21,261,132,7/9/21,1,,0,1,0.763,0.7,39.5,4.937,9/7/21
G,1,G1,5,G1_05,PEN-O,PEN,Vegetated,Biomass Removal,Vegetated/Biomass Removal,2/27/21,22.55,28,5.45,,9/3/21,1,188,11/15/21,261,188,9/3/21,1,9/3/21,1,0,0.763,0.7,36,1.894,9/28/21
H,4,H4,6,H4_06,PEN-O,PEN,Vegetated,Biomass Removal,Vegetated/Biomass Removal,3/24/21,15,51,36,,9/10/21,1,170,11/15/21,236,170,9/10/21,1,9/10/21,1,0,0.763,0.7,42.8,5.402,9/14/21
I,4,I4,9,I4_09,PEN-O,PEN,Vegetated,Biomass Removal,Vegetated/Biomass Removal,2/27/21,8.18,59,50.82,,9/13/21,1,198,11/15/21,261,198,9/13/21,1,9/10/21,1,0,0.763,0.7,50.5,4.951,9/20/21
J,2,J2,4,J2_04,PEN-O,PEN,Vegetated,Biomass Removal,Vegetated/Biomass Removal,2/27/21,23.2,,-23.2,5/22/21,5/22/21,1,84,11/15/21,261,84,,0,,0,1,0.763,0.7,,,
A,5,A5,6,A5_06,SSJ-O,SSJ,Vegetated,Biomass Removal,Vegetated/Biomass Removal,2/27/21,31.5,28,-3.5,,7/2/21,1,125,11/15/21,261,125,7/2/21,1,6/25/21,1,0,0.763,0.9,14.6,1.812,9/8/21
B,2,B2,9,B2_09,SSJ-O,SSJ,Vegetated,Biomass Removal,Vegetated/Biomass Removal,2/27/21,26.92,54,27.08,7/23/21,7/23/21,1,146,11/15/21,261,146,7/23/21,1,,0,1,0.763,0.9,16.2,3.596,9/3/21
C,2,C2,10,C2_10,SSJ-O,SSJ,Vegetated,Biomass Removal,Vegetated/Biomass Removal,2/27/21,26.66,63,36.34,,9/10/21,1,195,11/15/21,261,195,9/10/21,1,9/10/21,1,0,0.763,0.9,60.8,20.686,9/20/21
D,1,D1,5,D1_05,SSJ-O,SSJ,Vegetated,Biomass Removal,Vegetated/Biomass Removal,2/27/21,12.12,41,28.88,,9/10/21,1,195,11/15/21,261,195,9/10/21,1,9/10/21,1,0,0.763,0.9,39.5,5.794,9/14/21
E,5,E5,2,E5_02,SSJ-O,SSJ,Vegetated,Biomass Removal,Vegetated/Biomass Removal,3/9/21,25,49,24,,7/30/21,1,143,11/15/21,251,143,7/30/21,1,7/30/21,1,0,0.763,0.9,21,3.081,9/7/21
F,1,F1,2,F1_02,SSJ-O,SSJ,Vegetated,Biomass Removal,Vegetated/Biomass Removal,3/9/21,17,40,23,,9/10/21,1,185,11/15/21,251,185,9/10/21,1,9/10/21,1,0,0.763,0.9,38,5.522,9/20/21
G,1,G1,9,G1_09,SSJ-O,SSJ,Vegetated,Biomass Removal,Vegetated/Biomass Removal,2/27/21,14.6,53,38.4,,9/10/21,1,195,11/15/21,261,195,9/10/21,1,9/10/21,1,0,0.763,0.9,67.2,9.59,9/22/21
H,4,H4,11,H4_11,SSJ-O,SSJ,Vegetated,Biomass Removal,Vegetated/Biomass Removal,2/27/21,14.77,60,45.23,,9/10/21,1,195,11/15/21,261,195,9/10/21,1,9/10/21,1,0,0.763,0.9,64.1,8.808,9/14/21
I,4,I4,14,I4_14,SSJ-O,SSJ,Vegetated,Biomass Removal,Vegetated/Biomass Removal,2/27/21,20.79,55,34.21,,9/13/21,1,198,11/15/21,261,198,9/13/21,1,9/10/21,1,0,0.763,0.9,70.4,11.774,9/20/21
J,2,J2,12,J2_12,SSJ-O,SSJ,Vegetated,Biomass Removal,Vegetated/Biomass Removal,2/27/21,14.57,48,33.43,,9/13/21,1,198,11/15/21,261,198,9/13/21,1,9/10/21,1,0,0.763,0.9,29.8,2.214,9/20/21
A,2,A2,6,A2_06,BAY-A,BAY,Roadside,Grassland,Roadside/Grassland,2/27/21,25.33,19,-6.33,,7/2/21,1,125,11/15/21,261,125,7/2/21,1,7/2/21,1,0,0.25,0.5,8.1,0.059,9/8/21
B,1,B1,12,B1_12,BAY-A,BAY,Roadside,Grassland,Roadside/Grassland,3/9/21,20,29,9,5/28/21,5/28/21,1,80,11/15/21,251,80,,0,,0,1,0.25,0.5,,,
C,3,C3,12,C3_12,BAY-A,BAY,Roadside,Grassland,Roadside/Grassland,2/27/21,22.77,22,-0.77,,7/2/21,1,125,11/15/21,261,125,7/2/21,1,5/28/21,1,0,0.25,0.5,10.9,0.065,9/8/21
D,3,D3,12,D3_12,BAY-A,BAY,Roadside,Grassland,Roadside/Grassland,2/27/21,23.18,15,-8.18,,9/24/21,1,209,11/15/21,261,209,9/24/21,1,9/24/21,1,0,0.25,0.5,17.5,0.375,9/28/21
E,2,E2,6,E2_06,BAY-A,BAY,Roadside,Grassland,Roadside/Grassland,3/9/21,32,38,6,6/25/21,6/25/21,1,108,11/15/21,251,108,,0,6/11/21,1,0,0.25,0.5,,,
F,2,F2,7,F2_07,BAY-A,BAY,Roadside,Grassland,Roadside/Grassland,3/9/21,22,,-22,5/21/21,5/21/21,1,73,11/15/21,251,73,,0,,0,1,0.25,0.5,,,
G,3,G3,10,G3_10,BAY-A,BAY,Roadside,Grassland,Roadside/Grassland,3/16/21,25,29,4,7/2/21,7/2/21,1,108,11/15/21,244,108,7/2/21,1,,0,1,0.25,0.5,6.5,0.09,9/8/21
H,2,H2,4,H2_04,BAY-A,BAY,Roadside,Grassland,Roadside/Grassland,2/27/21,18.14,10,-8.14,6/4/21,6/4/21,1,97,11/15/21,261,97,,0,,0,1,0.25,0.5,,,
I,5,I5,16,I5_16,BAY-A,BAY,Roadside,Grassland,Roadside/Grassland,2/27/21,8.37,8,-0.37,6/4/21,6/4/21,1,97,11/15/21,261,97,,0,,0,1,0.25,0.5,,,
J,3,J3,2,J3_02,BAY-A,BAY,Roadside,Grassland,Roadside/Grassland,2/27/21,15.21,27,11.79,,9/24/21,1,209,11/15/21,261,209,9/24/21,1,9/24/21,1,0,0.25,0.5,11.4,0.223,9/28/21
A,2,A2,5,A2_05,CHE-A,CHE,Roadside,Grassland,Roadside/Grassland,2/27/21,20.16,17,-3.16,7/2/21,7/2/21,1,125,11/15/21,261,125,,0,,0,1,0.25,0.2,,,
B,1,B1,3,B1_03,CHE-A,CHE,Roadside,Grassland,Roadside/Grassland,2/27/21,23,31,8,,9/24/21,1,209,11/15/21,261,209,9/24/21,1,9/24/21,1,0,0.25,0.2,24.5,0.85,9/27/21
C,3,C3,10,C3_10,CHE-A,CHE,Roadside,Grassland,Roadside/Grassland,2/27/21,27.42,19,-8.42,6/18/21,6/18/21,1,111,11/15/21,261,111,,0,,0,1,0.25,0.2,,,
D,3,D3,5,D3_05,CHE-A,CHE,Roadside,Grassland,Roadside/Grassland,2/27/21,34.62,31,-3.62,,9/24/21,1,209,11/15/21,261,209,9/24/21,1,9/24/21,1,0,0.25,0.2,18.7,0.396,9/28/21
E,2,E2,14,E2_14,CHE-A,CHE,Roadside,Grassland,Roadside/Grassland,3/16/21,26,21,-5,,9/10/21,1,178,11/15/21,244,178,9/10/21,1,,0,1,0.25,0.2,10.1,0.193,9/28/21
F,2,F2,16,F2_16,CHE-A,CHE,Roadside,Grassland,Roadside/Grassland,2/27/21,20.16,,-20.16,5/21/21,5/21/21,1,83,11/15/21,261,83,,0,,0,1,0.25,0.2,,,
G,3,G3,8,G3_08,CHE-A,CHE,Roadside,Grassland,Roadside/Grassland,2/27/21,18.17,20,1.83,6/11/21,6/11/21,1,104,11/15/21,261,104,,0,,0,1,0.25,0.2,,,
H,2,H2,12,H2_12,CHE-A,CHE,Roadside,Grassland,Roadside/Grassland,2/27/21,15.51,17,1.49,6/11/21,6/11/21,1,104,11/15/21,261,104,,0,,0,1,0.25,0.2,,,
I,5,I5,6,I5_06,CHE-A,CHE,Roadside,Grassland,Roadside/Grassland,2/27/21,23.93,11,-12.93,6/4/21,6/4/21,1,97,11/15/21,261,97,,0,,0,1,0.25,0.2,,,
J,3,J3,6,J3_06,CHE-A,CHE,Roadside,Grassland,Roadside/Grassland,2/27/21,26.86,11,-15.86,6/4/21,6/4/21,1,97,11/15/21,261,97,,0,,0,1,0.25,0.2,,,
A,2,A2,11,A2_11,GUA-A,GUA,Roadside,Grassland,Roadside/Grassland,2/27/21,25.89,,-25.89,5/16/21,5/16/21,1,78,11/15/21,261,78,,0,,0,1,0.25,0.3,,,
B,1,B1,8,B1_08,GUA-A,GUA,Roadside,Grassland,Roadside/Grassland,3/9/21,26,26,0,6/25/21,6/25/21,1,108,11/15/21,251,108,,0,,0,1,0.25,0.3,,,
C,3,C3,2,C3_02,GUA-A,GUA,Roadside,Grassland,Roadside/Grassland,2/27/21,25.77,15,-10.77,6/11/21,6/11/21,1,104,11/15/21,261,104,,0,,0,1,0.25,0.3,,,
D,3,D3,11,D3_11,GUA-A,GUA,Roadside,Grassland,Roadside/Grassland,2/27/21,14.07,30,15.93,,9/24/21,1,209,11/15/21,261,209,9/24/21,1,9/24/21,1,0,0.25,0.3,17.6,0.317,9/27/21
E,2,E2,16,E2_16,GUA-A,GUA,Roadside,Grassland,Roadside/Grassland,3/16/21,28,35,7,,9/24/21,1,192,11/15/21,244,192,9/24/21,1,9/24/21,1,0,0.25,0.3,21.8,0.468,9/27/21
F,2,F2,15,F2_15,GUA-A,GUA,Roadside,Grassland,Roadside/Grassland,2/27/21,20.87,15,-5.87,5/28/21,5/28/21,1,90,11/15/21,261,90,,0,,0,1,0.25,0.3,,,
G,3,G3,3,G3_03,GUA-A,GUA,Roadside,Grassland,Roadside/Grassland,2/27/21,22.83,22,-0.83,7/16/21,7/16/21,1,139,11/15/21,261,139,7/16/21,1,,0,1,0.25,0.3,6.7,0.085,9/29/21
H,2,H2,9,H2_09,GUA-A,GUA,Roadside,Grassland,Roadside/Grassland,2/27/21,21.81,6,-15.81,6/4/21,6/4/21,1,97,11/15/21,261,97,,0,,0,1,0.25,0.3,,,
I,5,I5,5,I5_05,GUA-A,GUA,Roadside,Grassland,Roadside/Grassland,2/27/21,23.59,24,0.41,,9/24/21,1,209,11/15/21,261,209,9/24/21,1,9/24/21,1,0,0.25,0.3,22.5,0.592,9/28/21
J,3,J3,4,J3_04,GUA-A,GUA,Roadside,Grassland,Roadside/Grassland,2/27/21,10.83,6,-4.83,6/11/21,6/11/21,1,104,11/15/21,261,104,,0,,0,1,0.25,0.3,,,
A,2,A2,1,A2_01,LEX-A,LEX,Roadside,Grassland,Roadside/Grassland,3/19/21,30,27,-3,7/30/21,7/30/21,1,133,11/15/21,241,133,,0,,0,1,0.25,0.2,,,
B,1,B1,13,B1_13,LEX-A,LEX,Roadside,Grassland,Roadside/Grassland,2/27/21,12.04,7,-5.04,6/11/21,6/11/21,1,104,11/15/21,261,104,,0,,0,1,0.25,0.2,,,
C,3,C3,5,C3_05,LEX-A,LEX,Roadside,Grassland,Roadside/Grassland,3/24/21,12,10,-2,6/11/21,6/11/21,1,79,11/15/21,236,79,,0,,0,1,0.25,0.2,,,
D,3,D3,7,D3_07,LEX-A,LEX,Roadside,Grassland,Roadside/Grassland,3/19/21,23,,-23,5/16/21,5/16/21,1,58,11/15/21,241,58,,0,,0,1,0.25,0.2,,,
E,2,E2,10,E2_10,LEX-A,LEX,Roadside,Grassland,Roadside/Grassland,2/27/21,19.44,34,14.56,,7/2/21,1,125,11/15/21,261,125,7/2/21,1,6/11/21,1,0,0.25,0.2,13,0.279,9/28/21
F,2,F2,5,F2_05,LEX-A,LEX,Roadside,Grassland,Roadside/Grassland,3/9/21,32,26,-6,,7/2/21,1,115,11/15/21,251,115,7/2/21,1,7/2/21,1,0,0.25,0.2,6.8,0.034,9/8/21
G,3,G3,11,G3_11,LEX-A,LEX,Roadside,Grassland,Roadside/Grassland,2/27/21,21.25,25,3.75,7/23/21,7/23/21,1,146,11/15/21,261,146,7/23/21,1,,0,1,0.25,0.2,4.5,0.116,9/3/21
H,2,H2,13,H2_13,LEX-A,LEX,Roadside,Grassland,Roadside/Grassland,2/27/21,16.05,,-16.05,5/22/21,5/22/21,1,84,11/15/21,261,84,,0,,0,1,0.25,0.2,,,
I,5,I5,10,I5_10,LEX-A,LEX,Roadside,Grassland,Roadside/Grassland,2/27/21,14.85,15,0.15,6/11/21,6/11/21,1,104,11/15/21,261,104,,0,,0,1,0.25,0.2,,,
J,3,J3,12,J3_12,LEX-A,LEX,Roadside,Grassland,Roadside/Grassland,2/27/21,10.87,25,14.13,6/18/21,6/18/21,1,111,11/15/21,261,111,,0,,0,1,0.25,0.2,,,
A,2,A2,4,A2_04,OAP-A,OAP,Roadside,Grassland,Roadside/Grassland,2/27/21,21.54,30,8.46,,7/2/21,1,125,11/15/21,261,125,7/2/21,1,5/28/21,1,0,0.25,0.2,0.25,0.2,2.78
B,1,B1,15,B1_15,OAP-A,OAP,Roadside,Grassland,Roadside/Grassland,2/27/21,9.64,11,1.36,6/11/21,6/11/21,1,104,11/15/21,261,104,,0,,0,1,0.25,0.2,,,
C,3,C3,1,C3_01,OAP-A,OAP,Roadside,Grassland,Roadside/Grassland,2/27/21,22.26,11,-11.26,5/28/21,5/28/21,1,90,11/15/21,261,90,,0,,0,1,0.25,0.2,,,
D,3,D3,1,D3_01,OAP-A,OAP,Roadside,Grassland,Roadside/Grassland,3/9/21,25,30,5,6/11/21,6/11/21,1,94,11/15/21,251,94,,0,,0,1,0.25,0.2,,,
E,2,E2,13,E2_13,OAP-A,OAP,Roadside,Grassland,Roadside/Grassland,3/16/21,29,34,5,8/27/21,8/27/21,1,164,11/15/21,244,164,,0,,0,1,0.25,0.2,,,
F,2,F2,3,F2_03,OAP-A,OAP,Roadside,Grassland,Roadside/Grassland,2/27/21,21.12,,-21.12,5/21/21,5/21/21,1,83,11/15/21,261,83,,0,,0,1,0.25,0.2,,,
G,3,G3,15,G3_15,OAP-A,OAP,Roadside,Grassland,Roadside/Grassland,2/27/21,18.17,23,4.83,6/4/21,6/4/21,1,97,11/15/21,261,97,,0,,0,1,0.25,0.2,,,
H,2,H2,15,H2_15,OAP-A,OAP,Roadside,Grassland,Roadside/Grassland,2/27/21,13.56,34,20.44,7/16/21,7/16/21,1,139,11/15/21,261,139,7/16/21,1,,0,1,0.25,0.2,5.3,0.159,9/29/21
I,5,I5,13,I5_13,OAP-A,OAP,Roadside,Grassland,Roadside/Grassland,2/27/21,9.22,,-9.22,5/22/21,5/22/21,1,84,11/15/21,261,84,,0,,0,1,0.25,0.2,,,
J,3,J3,8,J3_08,OAP-A,OAP,Roadside,Grassland,Roadside/Grassland,2/27/21,21.31,45,23.69,,9/24/21,1,209,11/15/21,261,209,9/24/21,1,9/24/21,1,0,0.25,0.2,22.2,0.594,9/28/21
A,2,A2,3,A2_03,PAR-A,PAR,Roadside,Grassland,Roadside/Grassland,2/27/21,16.72,33,16.28,,7/2/21,1,125,11/15/21,261,125,7/2/21,1,6/11/21,1,0,0.25,0.2,12.5,0.101,9/8/21
B,1,B1,14,B1_14,PAR-A,PAR,Roadside,Grassland,Roadside/Grassland,2/27/21,15.38,18,2.62,6/25/21,6/25/21,1,118,11/15/21,261,118,,0,,0,1,0.25,0.2,,,
C,3,C3,8,C3_08,PAR-A,PAR,Roadside,Grassland,Roadside/Grassland,2/27/21,15.01,15,-0.01,6/18/21,6/18/21,1,111,11/15/21,261,111,7/2/21,1,,0,1,0.25,0.2,4.9,,
D,3,D3,13,D3_13,PAR-A,PAR,Roadside,Grassland,Roadside/Grassland,2/27/21,17.39,16,-1.39,6/11/21,6/11/21,1,104,11/15/21,261,104,,0,,0,1,0.25,0.2,,,
E,2,E2,7,E2_07,PAR-A,PAR,Roadside,Grassland,Roadside/Grassland,2/27/21,17.21,29,11.79,,7/2/21,1,125,11/15/21,261,125,7/2/21,1,6/25/21,1,0,0.25,0.2,9.5,0.059,9/28/21
F,2,F2,14,F2_14,PAR-A,PAR,Roadside,Grassland,Roadside/Grassland,2/27/21,15.31,16,0.69,6/11/21,6/11/21,1,104,11/15/21,261,104,,0,,0,1,0.25,0.2,,,
G,3,G3,2,G3_02,PAR-A,PAR,Roadside,Grassland,Roadside/Grassland,2/27/21,19.49,18,-1.49,7/16/21,7/16/21,1,139,11/15/21,261,139,7/16/21,1,,0,1,0.25,0.2,3.5,0.05,9/29/21
H,2,H2,16,H2_16,PAR-A,PAR,Roadside,Grassland,Roadside/Grassland,2/27/21,15.99,34,18.01,7/2/21,7/2/21,1,125,11/15/21,261,125,7/2/21,1,,0,1,0.25,0.2,3.4,0.074,9/7/21
I,5,I5,3,I5_03,PAR-A,PAR,Roadside,Grassland,Roadside/Grassland,2/27/21,18.08,18,-0.08,8/5/21,8/5/21,1,159,11/15/21,261,159,8/5/21,1,,0,1,0.25,0.2,3.5,0.08,9/8/21
J,3,J3,3,J3_03,PAR-A,PAR,Roadside,Grassland,Roadside/Grassland,2/27/21,20.28,28,7.72,6/11/21,6/11/21,1,104,11/15/21,261,104,,0,,0,1,0.25,0.2,,,
A,2,A2,14,A2_14,PEN-A,PEN,Roadside,Grassland,Roadside/Grassland,2/27/21,12.06,15,2.94,6/11/21,6/11/21,1,104,11/15/21,261,104,,0,,0,1,0.25,0.3,,,
B,1,B1,1,B1_01,PEN-A,PEN,Roadside,Grassland,Roadside/Grassland,2/27/21,18.94,6,-12.94,5/28/21,5/28/21,1,90,11/15/21,261,90,,0,,0,1,0.25,0.3,,,
C,3,C3,14,C3_14,PEN-A,PEN,Roadside,Grassland,Roadside/Grassland,2/27/21,23.3,14,-9.3,6/11/21,6/11/21,1,104,11/15/21,261,104,,0,,0,1,0.25,0.3,,,
D,3,D3,16,D3_16,PEN-A,PEN,Roadside,Grassland,Roadside/Grassland,2/27/21,16.64,17,0.36,,9/24/21,1,209,11/15/21,261,209,9/24/21,1,9/24/21,1,0,0.25,0.3,16.3,0.626,9/28/21
E,2,E2,12,E2_12,PEN-A,PEN,Roadside,Grassland,Roadside/Grassland,2/27/21,25.36,22,-3.36,7/16/21,7/16/21,1,139,11/15/21,261,139,7/16/21,1,,0,1,0.25,0.3,7.3,0.057,9/29/21
F,2,F2,9,F2_09,PEN-A,PEN,Roadside,Grassland,Roadside/Grassland,3/9/21,25,21,-4,,10/1/21,1,206,11/15/21,251,206,10/1/21,1,10/1/21,1,0,0.25,0.3,11.2,0.199,10/4/21
