Pot ID,Block,Soil,Competition,Population,Site,Habitat,Biomass_date,Dittrichia_biomass,Grass_biomass,MeasurementDate_2,MeasurementDate_3,GrassHeight_cm_2,GrassHeight_cm_3,GrassGrowth,DittrichiaLLL_mm_2,DittrichiaLLL_mm_3,DittrichiaGrowth
187,3,Construction Soil,Festuca,LEX-R,LEX,Roadside,12/13/22,0.0018,0.0794,9/15/21,10/16/21,40,39.8,-0.2,2.73,5.63,2.9
188,4,Construction Soil,Festuca,LEX-R,LEX,Roadside,12/12/22,0.0022,0.104,9/20/21,10/16/21,35.6,35.5,-0.1,3.47,4.27,0.8
189,5,Construction Soil,Festuca,LEX-R,LEX,Roadside,12/11/22,0.0003,0.1358,9/16/21,10/16/21,25.3,27.3,2,2.92,3.3,0.38
190,6,Construction Soil,Festuca,LEX-R,LEX,Roadside,12/11/22,0.0009,0.1723,9/16/21,10/17/21,32,32.6,0.6,3.14,4.16,1.02
191,7,Construction Soil,Festuca,LEX-R,LEX,Roadside,12/14/22,0.0014,0.1122,9/16/21,10/17/21,30,30.5,0.5,4.31,5.32,1.01
192,8,Construction Soil,Festuca,LEX-R,LEX,Roadside,12/11/22,0.0011,0.1575,9/16/21,10/17/21,35.5,35,-0.5,4.09,4.08,-0.01
193,1,Construction Soil,Festuca,OAP-V,OAP,Vegetated,12/16/22,0.0007,0.062,9/14/21,10/15/21,23.7,23.2,-0.5,4.5,4.78,0.28
194,2,Construction Soil,Festuca,OAP-V,OAP,Vegetated,12/9/22,0.0014,0.1692,9/15/21,10/16/21,54.2,61.3,7.1,4.97,3.91,-1.06
195,3,Construction Soil,Festuca,OAP-V,OAP,Vegetated,12/13/22,0.0013,0.0744,9/15/21,10/16/21,22.7,23.7,1,4.88,5.16,0.28
196,4,Construction Soil,Festuca,OAP-V,OAP,Vegetated,12/13/22,0.0022,0.1209,9/16/21,10/16/21,36.2,43.8,7.6,6.23,8.17,1.94
197,5,Construction Soil,Festuca,OAP-V,OAP,Vegetated,12/11/22,0.0018,0.1672,9/16/21,10/16/21,33.3,29.9,-3.4,5.53,4.91,-0.62
198,6,Construction Soil,Festuca,OAP-V,OAP,Vegetated,12/11/22,0.0004,0.1621,9/16/21,10/17/21,29.6,30.6,1,4.45,3.86,-0.59
199,7,Construction Soil,Festuca,OAP-V,OAP,Vegetated,12/14/22,0.0003,0.1332,9/16/21,10/17/21,27.4,35,7.6,3.78,3.22,-0.56
200,8,Construction Soil,Festuca,OAP-V,OAP,Vegetated,12/11/22,0.0012,0.0584,9/16/21,10/17/21,27,29,2,6.13,6.09,-0.04
201,1,Construction Soil,Festuca,OAP-R,OAP,Roadside,12/15/22,0.0002,0.1553,9/15/21,10/15/21,32.7,32.8,0.1,3.73,4.52,0.79
202,2,Construction Soil,Festuca,OAP-R,OAP,Roadside,12/9/22,0.0011,0.1508,9/15/21,10/15/21,36,35.6,-0.4,3.16,3.45,0.29
203,3,Construction Soil,Festuca,OAP-R,OAP,Roadside,12/13/22,0.0008,0.0714,9/15/21,10/16/21,27.4,27.7,0.3,3.71,4.27,0.56
204,4,Construction Soil,Festuca,OAP-R,OAP,Roadside,12/12/22,0.0013,0.1408,9/16/21,10/16/21,24.3,26.5,2.2,2.61,4.59,1.98
205,5,Construction Soil,Festuca,OAP-R,OAP,Roadside,12/11/22,0.0002,0.1034,9/16/21,10/16/21,29.5,32.2,2.7,3.87,3.42,-0.45
206,6,Construction Soil,Festuca,OAP-R,OAP,Roadside,12/11/22,0.0003,0.1079,9/20/21,10/17/21,24.5,24.4,-0.1,3.14,3.36,0.22
207,7,Construction Soil,Festuca,OAP-R,OAP,Roadside,12/14/22,0.0017,0.0363,9/16/21,10/17/21,18.3,18.3,0,4.79,4.83,0.04
208,8,Construction Soil,Festuca,OAP-R,OAP,Roadside,12/11/22,0.0008,0.091,9/16/21,10/17/21,47.2,46.6,-0.6,3.76,4.51,0.75
209,1,Construction Soil,Festuca,PAR-V,PAR,Vegetated,12/16/22,0.0006,0.0337,9/14/21,10/15/21,30.9,31.1,0.2,4.23,3.72,-0.51
210,2,Construction Soil,Festuca,PAR-V,PAR,Vegetated,12/9/22,0.0013,0.0789,9/15/21,10/16/21,26.7,26.6,-0.1,7.51,4.83,-2.68
211,3,Construction Soil,Festuca,PAR-V,PAR,Vegetated,12/13/22,0.0014,0.1214,9/15/21,10/16/21,53.8,54,0.2,4.33,3.94,-0.39
212,4,Construction Soil,Festuca,PAR-V,PAR,Vegetated,12/12/22,0.0008,0.0398,9/16/21,10/16/21,19.4,20.3,0.9,4.54,3.8,-0.74
213,5,Construction Soil,Festuca,PAR-V,PAR,Vegetated,12/15/22,0.0009,0.0563,9/16/21,10/16/21,23.5,23.2,-0.3,3.91,7.41,3.5
214,6,Construction Soil,Festuca,PAR-V,PAR,Vegetated,12/12/22,0.0011,0.0499,9/16/21,10/17/21,28,27.8,-0.2,4.21,3.25,-0.96
215,7,Construction Soil,Festuca,PAR-V,PAR,Vegetated,12/14/22,0.0008,0.1606,9/16/21,10/17/21,29.1,28.8,-0.3,4.79,5.51,0.72
216,8,Construction Soil,Festuca,PAR-V,PAR,Vegetated,12/14/22,0.0008,0.0436,9/16/21,10/17/21,26.4,28.7,2.3,5.91,3.16,-2.75
217,1,Construction Soil,Festuca,PAR-R,PAR,Roadside,12/16/22,0.0021,0.0612,9/14/21,10/15/21,25.8,24.8,-1,5.4,4.77,-0.63
218,2,Construction Soil,Festuca,PAR-R,PAR,Roadside,12/10/22,0.0015,0.0527,9/15/21,10/15/21,25.2,24.5,-0.7,4.44,4.22,-0.22
219,3,Construction Soil,Festuca,PAR-R,PAR,Roadside,12/13/22,0.0013,0.0419,9/15/21,10/16/21,26.4,26.3,-0.1,4.97,3.67,-1.3
220,4,Construction Soil,Festuca,PAR-R,PAR,Roadside,12/13/22,0.0006,0.0528,9/16/21,10/16/21,25.1,25.1,0,2.77,3.14,0.37
221,5,Construction Soil,Festuca,PAR-R,PAR,Roadside,12/11/22,0.0005,0.0598,9/16/21,10/16/21,27.2,29.3,2.1,4.03,5.87,1.84
222,6,Construction Soil,Festuca,PAR-R,PAR,Roadside,12/11/22,0.0014,0.039,9/16/21,10/17/21,24.1,24.6,0.5,3.81,4.81,1
223,7,Construction Soil,Festuca,PAR-R,PAR,Roadside,12/14/22,0.0016,0.0637,9/16/21,10/17/21,32.3,32,-0.3,7.3,5.49,-1.81
224,8,Construction Soil,Festuca,PAR-R,PAR,Roadside,12/14/22,0.0021,0.0988,9/16/21,10/17/21,27.9,27.6,-0.3,4.8,6.84,2.04
225,1,Construction Soil,Festuca,PEN-V,PEN,Vegetated,12/15/22,0.0031,0.0417,9/15/21,10/15/21,28.6,31.7,3.1,3.81,4.1,0.29
226,2,Construction Soil,Festuca,PEN-V,PEN,Vegetated,12/10/22,0.0013,0.0944,9/15/21,10/15/21,18.3,20.4,2.1,2.93,3.97,1.04
227,3,Construction Soil,Festuca,PEN-V,PEN,Vegetated,12/13/22,0.0017,0.0809,9/15/21,10/16/21,25.5,25.7,0.2,5.85,7.01,1.16
228,4,Construction Soil,Festuca,PEN-V,PEN,Vegetated,12/13/22,0.0008,0.0489,9/16/21,10/16/21,28.3,28.3,0,4.2,3.78,-0.42
229,5,Construction Soil,Festuca,PEN-V,PEN,Vegetated,12/11/22,0.001,0.0538,9/16/21,10/16/21,23,22.9,-0.1,4.37,4.52,0.15
230,6,Construction Soil,Festuca,PEN-V,PEN,Vegetated,12/12/22,0.0005,0.0951,9/16/21,10/17/21,27.5,31.5,4,3.54,4.46,0.92
231,7,Construction Soil,Festuca,PEN-V,PEN,Vegetated,12/14/22,0.0015,0.0455,9/16/21,10/17/21,16.2,18.4,2.2,4.51,3.66,-0.85
232,8,Construction Soil,Festuca,PEN-V,PEN,Vegetated,12/14/22,0.0011,0.1715,9/16/21,10/17/21,31.5,33.8,2.3,4.06,2.95,-1.11
233,1,Construction Soil,Festuca,PEN-R,PEN,Roadside,12/15/22,0.0012,0.1001,9/15/21,10/15/21,32,33.5,1.5,3.87,4.15,0.28
234,2,Construction Soil,Festuca,PEN-R,PEN,Roadside,12/9/22,0.0011,0.0922,9/15/21,10/16/21,30.6,26.6,-4,5.58,5.47,-0.11
235,3,Construction Soil,Festuca,PEN-R,PEN,Roadside,12/13/22,,0.1067,9/15/21,10/16/21,30.9,31,0.1,2.87,4.37,1.5
236,4,Construction Soil,Festuca,PEN-R,PEN,Roadside,12/13/22,0.0005,0.1265,9/16/21,10/16/21,27,32,5,6.13,6.11,-0.02
237,5,Construction Soil,Festuca,PEN-R,PEN,Roadside,12/15/22,0.0007,0.0614,9/16/21,10/16/21,23.3,24.9,1.6,4.13,5.43,1.3
238,6,Construction Soil,Festuca,PEN-R,PEN,Roadside,12/12/22,0.0011,0.0383,9/16/21,10/17/21,18.2,18.4,0.2,4.07,4.59,0.52
239,7,Construction Soil,Festuca,PEN-R,PEN,Roadside,12/14/22,0.0015,0.0846,9/16/21,10/17/21,25,25.8,0.8,4.32,4.28,-0.04
240,8,Construction Soil,Festuca,PEN-R,PEN,Roadside,12/14/22,0.002,0.0438,9/16/21,10/17/21,20.9,22.7,1.8,4.73,3.66,-1.07
241,1,Construction Soil,Festuca,SSJ-V,SSJ,Vegetated,12/15/22,0.0023,0.0588,9/15/21,10/15/21,18.8,21.6,2.8,6.07,4.92,-1.15
242,2,Construction Soil,Festuca,SSJ-V,SSJ,Vegetated,12/9/22,0.003,0.0775,9/20/21,10/16/21,29.6,34,4.4,7.38,8.86,1.48
243,3,Construction Soil,Festuca,SSJ-V,SSJ,Vegetated,12/13/22,0.0015,0.0425,9/15/21,10/16/21,24.5,26.1,1.6,5.76,4.95,-0.81
244,4,Construction Soil,Festuca,SSJ-V,SSJ,Vegetated,12/12/22,0.0007,0.0818,9/16/21,10/16/21,24,20.5,-3.5,4.57,4.36,-0.21
245,5,Construction Soil,Festuca,SSJ-V,SSJ,Vegetated,12/11/22,0.0015,0.081,9/16/21,10/16/21,32,33.6,1.6,5.67,6.07,0.4
246,6,Construction Soil,Festuca,SSJ-V,SSJ,Vegetated,12/12/22,0.002,0.0594,9/16/21,10/17/21,30.8,31.1,0.3,4.44,6.72,2.28
247,7,Construction Soil,Festuca,SSJ-V,SSJ,Vegetated,12/14/22,0.0011,0.0692,9/16/21,10/17/21,22.5,33.9,11.4,5.25,3.77,-1.48
248,8,Construction Soil,Festuca,SSJ-V,SSJ,Vegetated,12/11/22,0.0008,0.0307,9/16/21,10/17/21,19.5,19.9,0.4,6.39,4.56,-1.83
249,1,Construction Soil,Festuca,SSJ-R,SSJ,Roadside,12/16/22,0.0016,0.0337,9/14/21,10/15/21,24,23.6,-0.4,4.31,4.63,0.32
250,2,Construction Soil,Festuca,SSJ-R,SSJ,Roadside,12/10/22,0.0011,0.0569,9/15/21,10/15/21,29.1,28.9,-0.2,5.85,6.62,0.77
251,3,Construction Soil,Festuca,SSJ-R,SSJ,Roadside,12/13/22,0.001,0.0361,9/15/21,10/16/21,24.5,24.6,0.1,3.73,4.31,0.58
252,4,Construction Soil,Festuca,SSJ-R,SSJ,Roadside,12/12/22,0.0017,0.0861,9/16/21,10/16/21,23,22.1,-0.9,5.5,4.53,-0.97
253,5,Construction Soil,Festuca,SSJ-R,SSJ,Roadside,12/15/22,0.0022,0.1107,9/16/21,10/16/21,31.7,36.4,4.7,5.57,4.82,-0.75
254,6,Construction Soil,Festuca,SSJ-R,SSJ,Roadside,12/12/22,0.0018,0.0729,9/16/21,10/17/21,32.3,37,4.7,6.56,7.35,0.79
255,7,Construction Soil,Festuca,SSJ-R,SSJ,Roadside,12/14/22,0.0015,0.1269,9/16/21,10/17/21,41.2,41.4,0.2,4.95,5.38,0.43
256,8,Construction Soil,Festuca,SSJ-R,SSJ,Roadside,12/14/22,0.0015,0.1168,9/16/21,10/17/21,22.5,24.7,2.2,5.05,4.54,-0.51
257,1,Construction Soil,Bromus,BAY-V,BAY,Vegetated,12/15/22,0.0013,0.0281,9/15/21,10/15/21,12,12,0,4.36,4.19,-0.17
258,2,Construction Soil,Bromus,BAY-V,BAY,Vegetated,12/9/22,0.0006,0.022,9/15/21,10/16/21,11.3,13.9,2.6,3.65,4.06,0.41
259,3,Construction Soil,Bromus,BAY-V,BAY,Vegetated,12/13/22,0.0005,0.0239,9/15/21,10/16/21,13.2,12,-1.2,4.28,5.31,1.03
260,4,Construction Soil,Bromus,BAY-V,BAY,Vegetated,12/13/22,0.0006,0.0251,9/16/21,10/16/21,11.6,12.9,1.3,4.23,5.15,0.92
261,5,Construction Soil,Bromus,BAY-V,BAY,Vegetated,12/15/22,0.0013,0.0189,9/16/21,10/16/21,11.1,16.1,5,4.47,6.74,2.27
262,6,Construction Soil,Bromus,BAY-V,BAY,Vegetated,12/12/22,0.0005,0.0206,9/16/21,10/17/21,13.4,12.4,-1,2.74,3.86,1.12
263,7,Construction Soil,Bromus,BAY-V,BAY,Vegetated,12/14/22,0.0022,0.0308,9/16/21,10/17/21,11.1,12.6,1.5,4.45,5.01,0.56
264,8,Construction Soil,Bromus,BAY-V,BAY,Vegetated,12/14/22,0.0017,0.0278,9/16/21,10/17/21,12.4,12.9,0.5,4.32,4.21,-0.11
265,1,Construction Soil,Bromus,BAY-R,BAY,Roadside,12/16/22,0.0003,0.0344,9/14/21,10/15/21,12,13.2,1.2,4.22,4.98,0.76
266,2,Construction Soil,Bromus,BAY-R,BAY,Roadside,12/10/22,0.0014,0.0302,9/15/21,10/15/21,13.1,13.2,0.1,4.91,6.48,1.57
267,3,Construction Soil,Bromus,BAY-R,BAY,Roadside,12/13/22,0.0016,0.0311,9/15/21,10/16/21,11.3,13.5,2.2,4.75,3.55,-1.2
268,4,Construction Soil,Bromus,BAY-R,BAY,Roadside,12/13/22,0.0013,0.0335,9/16/21,10/16/21,13.2,13.6,0.4,3.67,4.19,0.52
269,5,Construction Soil,Bromus,BAY-R,BAY,Roadside,12/11/22,0.0005,0.0194,9/16/21,10/16/21,10.7,11.4,0.7,2.74,3.98,1.24
270,6,Construction Soil,Bromus,BAY-R,BAY,Roadside,12/12/22,0.0012,0.0164,9/16/21,10/17/21,9.8,11,1.2,4.21,5.45,1.24
271,7,Construction Soil,Bromus,BAY-R,BAY,Roadside,12/14/22,0.0015,0.0137,9/16/21,10/17/21,9.4,8.8,-0.6,5.71,4.84,-0.87
272,8,Construction Soil,Bromus,BAY-R,BAY,Roadside,12/14/22,0.0013,0.0302,9/16/21,10/17/21,14,13.2,-0.8,4.78,4.24,-0.54
273,1,Construction Soil,Bromus,CHE-V,CHE,Vegetated,12/15/22,0.0021,0.0462,9/15/21,10/15/21,14,15.1,1.1,5.23,5.56,0.33
274,2,Construction Soil,Bromus,CHE-V,CHE,Vegetated,12/9/22,0.0008,0.0215,9/15/21,10/16/21,12.1,13.5,1.4,3.02,3.47,0.45
275,3,Construction Soil,Bromus,CHE-V,CHE,Vegetated,12/13/22,0.0013,0.0257,9/15/21,10/16/21,10,11.4,1.4,4.23,5.07,0.84
276,4,Construction Soil,Bromus,CHE-V,CHE,Vegetated,12/13/22,0.0009,0.0257,9/16/21,10/16/21,13.5,15.9,2.4,4.72,5.51,0.79
277,5,Construction Soil,Bromus,CHE-V,CHE,Vegetated,12/15/22,0.0012,0.0275,9/16/21,10/16/21,14,15.2,1.2,4.59,3.59,-1
278,6,Construction Soil,Bromus,CHE-V,CHE,Vegetated,12/11/22,0.0004,0.0272,9/16/21,10/17/21,10.9,11.1,0.2,1.57,2.67,1.1
279,7,Construction Soil,Bromus,CHE-V,CHE,Vegetated,12/14/22,0.0008,0.0066,9/16/21,10/17/21,9,8,-1,4.26,3.38,-0.88
280,8,Construction Soil,Bromus,CHE-V,CHE,Vegetated,12/11/22,0.0009,0.0263,9/16/21,10/17/21,13.6,13.2,-0.4,5.18,4.23,-0.95
281,1,Construction Soil,Bromus,CHE-R,CHE,Roadside,12/16/22,0.0013,0.0476,9/15/21,10/15/21,16.7,16.5,-0.2,4.41,5.6,1.19
282,2,Construction Soil,Bromus,CHE-R,CHE,Roadside,12/10/22,0.0014,0.0325,9/15/21,10/15/21,13.6,13.2,-0.4,4.94,5.13,0.19
283,3,Construction Soil,Bromus,CHE-R,CHE,Roadside,12/13/22,0.0003,0.0272,9/15/21,10/16/21,14.3,15,0.7,4.1,3.99,-0.11
284,4,Construction Soil,Bromus,CHE-R,CHE,Roadside,12/12/22,0.0014,0.0259,9/16/21,10/16/21,12.1,11.9,-0.2,4.23,5.4,1.17
285,5,Construction Soil,Bromus,CHE-R,CHE,Roadside,12/11/22,0.0005,0.0169,9/16/21,10/16/21,10,10,0,2.72,3.03,0.31
286,6,Construction Soil,Bromus,CHE-R,CHE,Roadside,12/11/22,0.0015,0.0275,9/16/21,10/17/21,13.1,12.1,-1,5.12,4.31,-0.81
287,7,Construction Soil,Bromus,CHE-R,CHE,Roadside,12/14/22,0.0008,0.0215,9/16/21,10/17/21,12.6,12.6,0,3.3,3.37,0.07
288,8,Construction Soil,Bromus,CHE-R,CHE,Roadside,12/14/22,0.0034,0.0197,9/16/21,10/17/21,12,12,0,4.68,4.58,-0.1
289,1,Construction Soil,Bromus,GUA-V,GUA,Vegetated,12/15/22,,0.0467,9/15/21,10/15/21,16.5,17.9,1.4,5.64,10.89,5.25
290,2,Construction Soil,Bromus,GUA-V,GUA,Vegetated,12/10/22,0.0006,0.0422,9/15/21,10/15/21,16.9,16.9,0,2.78,5.75,2.97
291,3,Construction Soil,Bromus,GUA-V,GUA,Vegetated,12/13/22,0.0017,0.0375,9/15/21,10/16/21,16.5,19.2,2.7,5.53,5.8,0.27
292,4,Construction Soil,Bromus,GUA-V,GUA,Vegetated,12/13/22,0.0012,0.0257,9/16/21,10/16/21,13.2,14.5,1.3,3.71,3.46,-0.25
293,5,Construction Soil,Bromus,GUA-V,GUA,Vegetated,12/11/22,0.0007,0.0267,9/16/21,10/16/21,12.2,14.8,2.6,4.23,4.26,0.03
294,6,Construction Soil,Bromus,GUA-V,GUA,Vegetated,12/11/22,0.0014,0.0197,9/16/21,10/17/21,12.1,11.9,-0.2,4.18,4.26,0.08
295,7,Construction Soil,Bromus,GUA-V,GUA,Vegetated,12/14/22,0.0014,0.0225,9/16/21,10/17/21,13.1,13.4,0.3,4.32,4.48,0.16
296,8,Construction Soil,Bromus,GUA-V,GUA,Vegetated,12/11/22,0.0015,0.024,9/16/21,10/17/21,12.9,12.6,-0.3,4.98,5.29,0.31
297,1,Construction Soil,Bromus,GUA-R,GUA,Roadside,12/15/22,0.0017,0.0167,9/15/21,10/15/21,9.4,11.5,2.1,2.15,3.38,1.23
298,2,Construction Soil,Bromus,GUA-R,GUA,Roadside,12/9/22,0.0029,0.0201,9/15/21,10/16/21,9.2,10.9,1.7,7.74,5.41,-2.33
299,3,Construction Soil,Bromus,GUA-R,GUA,Roadside,12/13/22,0.0008,0.0335,9/15/21,10/16/21,12.5,12.4,-0.1,3.54,3.77,0.23
300,4,Construction Soil,Bromus,GUA-R,GUA,Roadside,12/13/22,0.0008,0.0308,9/16/21,10/16/21,11.1,17,5.9,5.21,4.31,-0.9
301,5,Construction Soil,Bromus,GUA-R,GUA,Roadside,12/15/22,0.0018,0.0159,9/16/21,10/16/21,10.3,12.2,1.9,3.36,3.18,-0.18
302,6,Construction Soil,Bromus,GUA-R,GUA,Roadside,12/11/22,0.0024,0.0281,9/16/21,10/17/21,13.1,11.5,-1.6,4.81,4.71,-0.1
303,7,Construction Soil,Bromus,GUA-R,GUA,Roadside,12/14/22,0.0015,0.0443,9/16/21,10/17/21,17.4,17.2,-0.2,4.36,4.35,-0.01
304,8,Construction Soil,Bromus,GUA-R,GUA,Roadside,12/11/22,0.0011,0.0154,9/16/21,10/17/21,13,14.6,1.6,5.7,7.02,1.32
305,1,Construction Soil,Bromus,LEX-V,LEX,Vegetated,12/16/22,0.0014,0.0202,9/14/21,10/15/21,9.4,10.7,1.3,6.77,6.59,-0.18
306,2,Construction Soil,Bromus,LEX-V,LEX,Vegetated,12/9/22,0.002,0.0272,9/15/21,10/16/21,13.3,13.5,0.2,3.85,3.69,-0.16
307,3,Construction Soil,Bromus,LEX-V,LEX,Vegetated,12/13/22,0.0012,0.0312,9/15/21,10/16/21,13.3,13.8,0.5,3.47,5.1,1.63
308,4,Construction Soil,Bromus,LEX-V,LEX,Vegetated,12/12/22,0.0015,0.0326,9/16/21,10/16/21,13.3,14.6,1.3,5.03,6.1,1.07
309,5,Construction Soil,Bromus,LEX-V,LEX,Vegetated,12/15/22,0.001,0.0318,9/16/21,10/16/21,14.7,15.6,0.9,4.3,4.21,-0.09
310,6,Construction Soil,Bromus,LEX-V,LEX,Vegetated,12/11/22,0.0018,0.0093,9/16/21,10/17/21,8.6,9.4,0.8,3.66,4.23,0.57
311,7,Construction Soil,Bromus,LEX-V,LEX,Vegetated,12/14/22,0.0019,0.0226,9/16/21,10/17/21,13.2,14.7,1.5,4.81,5.77,0.96
312,8,Construction Soil,Bromus,LEX-V,LEX,Vegetated,12/11/22,0.0004,0.015,9/16/21,10/17/21,10.5,11.3,0.8,4.22,2.1,-2.12
313,1,Construction Soil,Bromus,LEX-R,LEX,Roadside,12/15/22,0.0032,0.0149,9/15/21,10/15/21,8.8,8.7,-0.1,4.32,7.65,3.33
314,2,Construction Soil,Bromus,LEX-R,LEX,Roadside,12/9/22,0.0017,0.0247,9/15/21,10/16/21,12.5,12.8,0.3,5.54,6.47,0.93
315,3,Construction Soil,Bromus,LEX-R,LEX,Roadside,12/13/22,0.0012,0.0161,9/15/21,10/16/21,12,12.4,0.4,4.99,4.84,-0.15
316,4,Construction Soil,Bromus,LEX-R,LEX,Roadside,12/13/22,0.001,0.0184,9/16/21,10/16/21,8.4,11,2.6,3.63,3.86,0.23
317,5,Construction Soil,Bromus,LEX-R,LEX,Roadside,12/15/22,0.0025,0.0727,9/16/21,10/16/21,23.8,23.4,-0.4,9.13,6.54,-2.59
318,6,Construction Soil,Bromus,LEX-R,LEX,Roadside,12/12/22,0.0011,0.0229,9/16/21,10/17/21,13.6,13.8,0.2,4.1,3.39,-0.71
319,7,Construction Soil,Bromus,LEX-R,LEX,Roadside,12/14/22,0.0016,0.0244,9/16/21,10/17/21,18.3,18.1,-0.2,5.01,6.84,1.83
320,8,Construction Soil,Bromus,LEX-R,LEX,Roadside,12/11/22,0.0017,0.0274,9/16/21,10/17/21,13.9,12.6,-1.3,5.44,5.24,-0.2
321,1,Construction Soil,Bromus,OAP-V,OAP,Vegetated,12/16/22,0.0016,0.0173,9/14/21,10/15/21,10.1,10.2,0.1,6.7,6.09,-0.61
322,2,Construction Soil,Bromus,OAP-V,OAP,Vegetated,12/9/22,0.0022,0.0298,9/15/21,10/16/21,14.4,14.5,0.1,8.73,7.36,-1.37
323,3,Construction Soil,Bromus,OAP-V,OAP,Vegetated,12/13/22,0.0014,0.0256,9/15/21,10/16/21,15.7,15.2,-0.5,6.34,5.45,-0.89
324,4,Construction Soil,Bromus,OAP-V,OAP,Vegetated,12/13/22,0.0011,0.0242,9/16/21,10/16/21,12.1,11.3,-0.8,4.89,4.68,-0.21
325,5,Construction Soil,Bromus,OAP-V,OAP,Vegetated,12/15/22,0.0013,0.0356,9/16/21,10/16/21,15.2,16.4,1.2,5.75,4.4,-1.35
326,6,Construction Soil,Bromus,OAP-V,OAP,Vegetated,12/11/22,0.002,0.0257,9/16/21,10/17/21,9.6,11.5,1.9,4.26,4.79,0.53
327,7,Construction Soil,Bromus,OAP-V,OAP,Vegetated,12/14/22,0.0027,0.0062,9/16/21,10/17/21,7.8,7.8,0,7.31,5.02,-2.29
328,8,Construction Soil,Bromus,OAP-V,OAP,Vegetated,12/11/22,0.0012,0.0193,9/16/21,10/17/21,11,13.7,2.7,4.79,3.97,-0.82
329,1,Construction Soil,Bromus,OAP-R,OAP,Roadside,12/16/22,0.0009,0.0233,9/14/21,10/15/21,10,13,3,6.58,6.04,-0.54
330,2,Construction Soil,Bromus,OAP-R,OAP,Roadside,12/10/22,0.0017,0.0193,9/15/21,10/15/21,11.7,11.7,0,6.74,8.12,1.38
331,3,Construction Soil,Bromus,OAP-R,OAP,Roadside,12/13/22,0.0003,0.0187,9/15/21,10/16/21,10.8,12.3,1.5,3.87,4.37,0.5
332,4,Construction Soil,Bromus,OAP-R,OAP,Roadside,12/12/22,0.0009,0.0124,9/16/21,10/16/21,7,10.4,3.4,4.98,4.73,-0.25
333,5,Construction Soil,Bromus,OAP-R,OAP,Roadside,12/11/22,0.0008,0.0144,9/16/21,10/16/21,10.1,8.4,-1.7,3.3,3.41,0.11
334,6,Construction Soil,Bromus,OAP-R,OAP,Roadside,12/11/22,0.0015,0.0294,9/16/21,10/17/21,12.4,12.4,0,4.44,3.8,-0.64
335,7,Construction Soil,Bromus,OAP-R,OAP,Roadside,12/14/22,0.0013,0.0263,9/16/21,10/17/21,13.1,13.5,0.4,4.88,3.96,-0.92
336,8,Construction Soil,Bromus,OAP-R,OAP,Roadside,12/14/22,0.001,0.0214,9/16/21,10/17/21,13.6,13.2,-0.4,2.85,2.47,-0.38
337,1,Construction Soil,Bromus,PAR-V,PAR,Vegetated,12/16/22,0.0005,0.0326,9/14/21,10/15/21,15.6,16,0.4,4.55,4.15,-0.4
338,2,Construction Soil,Bromus,PAR-V,PAR,Vegetated,12/9/22,0.0004,0.0245,9/15/21,10/16/21,17.1,17.1,0,3.65,3.65,0
339,3,Construction Soil,Bromus,PAR-V,PAR,Vegetated,12/13/22,0.0002,0.0251,9/15/21,10/16/21,12.5,15.4,2.9,3.36,4.18,0.82
340,4,Construction Soil,Bromus,PAR-V,PAR,Vegetated,12/13/22,0.0008,0.029,9/16/21,10/16/21,12.5,12.5,0,4.23,6.47,2.24
341,5,Construction Soil,Bromus,PAR-V,PAR,Vegetated,12/15/22,0.0014,0.0138,9/16/21,10/16/21,9.1,11.3,2.2,5.11,7.33,2.22
342,6,Construction Soil,Bromus,PAR-V,PAR,Vegetated,12/11/22,0.0014,0.0028,9/16/21,10/17/21,8.4,9.3,0.9,2.66,4.61,1.95
343,7,Construction Soil,Bromus,PAR-V,PAR,Vegetated,12/14/22,0.0013,0.015,9/16/21,10/17/21,10.4,12.3,1.9,2.92,3.53,0.61
344,8,Construction Soil,Bromus,PAR-V,PAR,Vegetated,12/14/22,0.0009,0.0193,9/16/21,10/17/21,12.1,12.5,0.4,3.31,3.65,0.34
345,1,Construction Soil,Bromus,PAR-R,PAR,Roadside,12/16/22,0.0006,0.0214,9/14/21,10/15/21,10.5,12.1,1.6,5.3,5.7,0.4
346,2,Construction Soil,Bromus,PAR-R,PAR,Roadside,12/9/22,0.0024,0.0128,9/15/21,10/16/21,9.3,11.5,2.2,4.87,5.42,0.55
347,3,Construction Soil,Bromus,PAR-R,PAR,Roadside,12/13/22,0.001,0.0166,9/15/21,10/16/21,14.9,15.2,0.3,7.04,6.97,-0.07
348,4,Construction Soil,Bromus,PAR-R,PAR,Roadside,12/12/22,0.0018,0.0179,9/16/21,10/16/21,10.7,11.5,0.8,7.45,5.22,-2.23
349,5,Construction Soil,Bromus,PAR-R,PAR,Roadside,12/15/22,0.0012,0.0194,9/16/21,10/16/21,9.8,11.7,1.9,5.87,4.6,-1.27
350,6,Construction Soil,Bromus,PAR-R,PAR,Roadside,12/11/22,0.0011,0.0172,9/16/21,10/17/21,14.8,14.8,0,4.21,5.62,1.41
351,7,Construction Soil,Bromus,PAR-R,PAR,Roadside,12/14/22,0.0015,0.0152,9/16/21,10/17/21,8.5,9.5,1,3.68,3.93,0.25
352,8,Construction Soil,Bromus,PAR-R,PAR,Roadside,12/11/22,0.0013,0.0111,9/16/21,10/17/21,7.9,6.4,-1.5,5.11,6.48,1.37
